Site,Date,Air Temperature (C°),,Relative Humidity (%),Barometric Pressure (mB (hPa equiv)),GHI (Wh/m2)
Thuwal - KAUST,06/02/2013 01:00,32.6,,32,1000.6,0
Thuwal - KAUST,06/02/2013 02:00,31.6,,33.2,1000,0
Thuwal - KAUST,06/02/2013 03:00,31,,33,999.7,0
Thuwal - KAUST,06/02/2013 04:00,29.6,,38.3,1000.1,0
Thuwal - KAUST,06/02/2013 05:00,29.6,,36.4,1000.6,0
Thuwal - KAUST,06/02/2013 06:00,29.3,,36.4,1001.3,3.9
Thuwal - KAUST,06/02/2013 07:00,31.1,,28.3,1001.8,96.6
Thuwal - KAUST,06/02/2013 08:00,32,,31.4,1002.2,296.5
Thuwal - KAUST,06/02/2013 09:00,35.9,,25.6,1002.6,515.9
Thuwal - KAUST,06/02/2013 10:00,35.8,,39,1002.7,710.4
Thuwal - KAUST,06/02/2013 11:00,35,,49.8,1002.3,872.4
Thuwal - KAUST,06/02/2013 12:00,35.9,,38.4,1001.9,965.2
Thuwal - KAUST,06/02/2013 13:00,35,,45.3,1001.3,990.1
Thuwal - KAUST,06/02/2013 14:00,35.2,,44.4,1000.4,945.1
Thuwal - KAUST,06/02/2013 15:00,34.1,,54.8,999.7,830
Thuwal - KAUST,06/02/2013 16:00,33,,62.3,999.3,661.4
Thuwal - KAUST,06/02/2013 17:00,32.5,,65.3,998.9,452.9
Thuwal - KAUST,06/02/2013 18:00,32.2,,63.2,998.8,237.2
Thuwal - KAUST,06/02/2013 19:00,31.6,,63.2,999.4,59.9
Thuwal - KAUST,06/02/2013 20:00,31.1,,63.6,1000.8,0.2
Thuwal - KAUST,06/02/2013 21:00,31.6,,53.2,1001.2,0
Thuwal - KAUST,06/02/2013 22:00,33.1,,33.3,1001.7,0
Thuwal - KAUST,06/02/2013 23:00,34.2,,19.8,1001.6,0
Thuwal - KAUST,06/03/2013 00:00,34.5,,16.9,1001.3,0
Thuwal - KAUST,06/03/2013 01:00,35.1,,15,1000.8,0
Thuwal - KAUST,06/03/2013 02:00,34.6,,18,1000.3,0
Thuwal - KAUST,06/03/2013 03:00,33.5,,16.8,1000.3,0
